Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted
287,Slakoth,Normal,, lolls around for over twenty hours every day because it moves so little it does not need much food this sole daily meal consists of just three leaves heart beats just once a minute whatever happens it is content to loaf around motionless it is rare to see this in motion it sleeps for hours every day making drowsy those that see it is one of its abilities it sleeps virtually all day and night long it doesn t change its nest its entire life but it sometimes travels great distances by swimming in rivers it spends nearly all its time in a day sprawled out just seeing it makes one drowsy the way lolls around makes anyone who watches it feel like doing the same it spends nearly all its time in a day sprawled out just seeing it makes one drowsy if it eats just three leaves in a day it is satisfied other than that it sleeps for hours a day the way lolls around makes anyone who watches it feel like doing the same if it eats just three leaves in a day it is satisfied other than that it sleeps for hours a day lolls around for over hours every day because it moves so little it does not need much food this sole daily meal consists of just three leaves heart beats just once a minute whatever happens it is content to loaf around motionless it is rare to see this in motion it spends nearly all its time in a day sprawled out just seeing it makes one drowsy,12,12
288,Vigoroth,Normal,, is always itching and agitated to go on a wild rampage it simply can t tolerate sitting still for even a minute this stress level rises if it can t be moving constantly is simply incapable of remaining still even when it tries to sleep the blood in its veins grows agitated compelling this to run wild throughout the jungle before it can settle down it is always hungry because it won t stop rampaging even while it is eating it can t keep still it can t keep still because its blood boils with energy it runs through the fields and mountains all day to calm itself if it doesn t it can t sleep at night its heart beats at a tenfold tempo so it cannot sit still for even a moment its stress level rises if it cannot keep moving constantly too much stress makes it feel sick its heart beats at a tenfold tempo so it cannot sit still for even a moment its heartbeat is fast and its blood so agitated that it can t sit still for one second its heartbeat is fast and its blood so agitated that it can t sit still for one second its stress level rises if it cannot keep moving constantly too much stress makes it feel sick is always itching and agitated to go on a wild rampage it simply can t tolerate sitting still for even a minute this stress level rises if it can t be moving constantly is simply incapable of remaining still even when it tries to sleep the blood in its veins grows agitated compelling this to run wild throughout the jungle before it can settle down its heart beats at times its previous rate so it cannot sit still for even a moment,12,12
289,Slaking,Normal,, spends all day lying down and lolling about it eats grass growing within its reach if it eats all the grass it can reach this reluctantly moves to another spot wherever live rings of over a yard in diameter appear in grassy fields they are made by the as it eats all the grass within reach while lying prone on the ground it is the world most slothful however it can exert horrifying power by releasing pent up energy all at once hordes of gather around trees when fruits come into season they wait around patiently for ripened fruits to fall out of the trees the world laziest when it is lounging it is actually saving energy for striking back the world laziest it moves to another spot when there no food left within its reach the world laziest when it is lounging it is actually saving energy for striking back this lives lying on its side it only rolls over and moves when there is no more grass to eat the world laziest it moves to another spot when there no food left within its reach it is the world most slothful however it can exert horrifying power by releasing pent up energy all at once spends all day lying down and lolling about it eats grass growing within its reach if it eats all the grass it can reach this reluctantly moves to another spot wherever live rings of over a yard in diameter appear in grassy fields they are made by the as it eats all the grass within reach while lying prone on the ground it is the world laziest when it is lounging it is actually saving energy for striking back,12,12
290,Nincada,Bug,Ground, lives underground for many years in complete darkness this absorbs nutrients from the roots of trees it stays motionless as it waits for evolution lives underground it uses its sharp claws to carve the roots of trees and absorb moisture and nutrients this can t withstand bright sunlight so avoids it because it lived almost entirely underground it is nearly blind it uses its antennae instead it makes its nest at the roots of a mighty tree using its whiskerlike antennae it probes its surroundings in the pitch black darkness of soil it grows underground sensing its surroundings using antennae instead of its virtually blind eyes it can sometimes live underground for more than years it absorbs nutrients from the roots of trees it grows underground sensing its surroundings using antennae instead of its virtually blind eyes because it lived almost entirely underground it is nearly blind it uses its antennae instead it can sometimes live underground for more than years it absorbs nutrients from the roots of trees lives underground for many years in complete darkness this absorbs nutrients from the roots of trees it stays motionless as it waits for evolution lives underground it uses its sharp claws to carve the roots of trees and absorb moisture and nutrients this can t withstand bright sunlight so avoids it because it lived almost entirely underground it is nearly blind it uses its antennae instead it can sometimes live underground for more than years it absorbs nutrients from the roots of trees it grows underground sensing its surroundings using antennae instead of its virtually blind eyes,0,0
291,Ninjask,Bug,Flying, moves around at such a high speed that it cannot be seen even while its crying can be clearly heard for that reason this was long believed to be invisible if is not trained properly it will refuse to obey the trainer and cry loudly continuously because of this quality this is said to be one that puts the trainer abilities to the test this is so quick it is said to be able to avoid any attack it loves to feed on tree sap because it darts about vigorously at high speed it is very difficult to see hearing its distinctive cries for too long induces a headache because it moves so quickly it sometimes becomes unseeable it congregates around tree sap its cry leaves a lasting headache if heard for too long it moves so quickly that it is almost invisible because it moves so quickly it sometimes becomes unseeable it congregates around tree sap its cry leaves a lasting headache if heard for too long it moves so quickly that it is almost invisible because it moves so quickly it sometimes becomes unseeable it congregates around tree sap moves around at such a high speed that it cannot be seen even while its crying can be clearly heard for that reason this was long believed to be invisible if is not trained properly it will refuse to obey the trainer and cry loudly continuously because of this quality this is said to be one that puts the trainer abilities to the test its cry leaves a lasting headache if heard for too long it moves so quickly that it is almost invisible this is so quick it is said to be able to avoid any attack it loves to feed on tree sap because they move so quickly they sometimes become unseeable they congregate around tree sap,0,0
292,Shedinja,Bug,Ghost, hard body doesn t move not even a twitch in fact its body appears to be merely a hollow shell it is believed that this will steal the spirit of anyone peering into its hollow body from its back is a peculiar it seems to appear unsought in a poke ball after a evolves this bizarre is entirely immobile it doesn t even breathe a most peculiar that somehow appears in a poke ball when a evolves a peculiar that floats in air even though its wings remain completely still the inside of its body is hollow and utterly dark a discarded bug shell that came to life peering into the crack on its back is said to steal one spirit a strange it flies without moving its wings has a hollow shell for a body and does not breathe a discarded bug shell that came to life peering into the crack on its back is said to steal one spirit a discarded bug shell that came to life peering into the crack on its back is said to steal one spirit a most peculiar that somehow appears in a poke ball when a evolves hard body doesn t movenot even a twitch in fact its body appears to be merely a hollow shell it is believed that this will steal the spirit of anyone peering into its hollow body from its back is a peculiar it seems to appear unsought in a poke ball after a evolves this bizarre is entirely immobileit doesn t even breathe a most peculiar that somehow appears in a poke ball when a evolves a strange it flies without moving its wings has a hollow shell for a body and does not breathe it is a discarded bug shell that came to life peering into the crack on its back is said to steal one spirit,0,0
293,Whismur,Normal,,normally voice is very quiet it is barely audible even if one is paying close attention however if this senses danger it starts crying at an earsplitting volume is very timid if it starts to cry loudly it becomes startled by its own crying and cries even harder when it finally stops crying the goes to sleep all tired out it usually murmurs but starts crying loudly if it senses danger it stops when its ear covers are shut its cries equal a jet plane in volume it inhales through its ear canals because of this system it can cry continually without having to catch its breath usually its cries are like quiet murmurs if frightened it shrieks at the same volume as a jet plane if it senses danger it scares the foe by crying out with the volume of a jet plane engine usually its cries are like quiet murmurs if frightened it shrieks at the same volume as a jet plane it usually murmurs but starts crying loudly if it senses danger it stops when its ear covers are shut if it senses danger it scares the foe by crying out with the volume of a jet plane engine normally voice is very quietit is barely audible even if one is paying close attention however if this senses danger it starts crying at an earsplitting volume is very timid if it starts to cry loudly it becomes startled by its own crying and cries even harder when it finally stops crying the goes to sleep all tired out the cry of a is over decibels if you re close to a when it lets out a cry you ll be stuck with an all day headache when cries the sound of its own voice startles it making the cry even louder it cries until it is exhausted then it falls asleep usually its cries are like quiet murmurs if frightened it shrieks at the same volume as a jet plane,12,12
294,Loudred,Normal,, bellowing can completely decimate a wood frame house it uses its voice to punish its foes this round ears serve as loudspeakers shouts while stamping its feet after it finishes shouting this becomes incapable of hearing anything for a while this is considered to be a weak point when it stamps its feet and bellows it generates ultrasonic waves that can blow apart a house it positions the round speakers on its head to assail foes with ultrasonic waves at massive volume it builds power by stomping the ground the shock waves from its cries can tip over trucks it stamps its feet to power up it shouts loudly by inhaling air and then uses its well developed stomach muscles to exhale the shock waves from its cries can tip over trucks it stamps its feet to power up it shouts loudly by inhaling air and then uses its well developed stomach muscles to exhale the shock waves from its cries can tip over trucks it stamps its feet to power up bellowing can completely decimate a wood frame house it uses its voice to punish its foes this round ears serve as loudspeakers shouts while stamping its feet after it finishes shouting this becomes incapable of hearing anything for a while this is considered to be a weak point ears serve as speakers and they can put out sound waves powerful enough to blow away a house the force of this loud voice isn t just the soundit is also the wave of air pressure that blows opponents away and damages them the shock waves from its cries can tip over trucks it stamps its feet to power up,12,12
295,Exploud,Normal,, triggers earthquakes with the tremors it creates by bellowing if this violently inhales from the ports on its body it is a sign that it is preparing to let loose a huge bellow communicates its feelings to the others by emitting whistle like sounds from the tubes on its body this only raises its voice when it is in battle it emits a variety of sounds from the holes all over its body its loud cries can be heard from over six miles away it has sound generating organs all over its body it communicates with others by adjusting the tone and volume of the cries it emits its howls can be heard over six miles away it emits all sorts of noises from the ports on its body its roar in battle shakes the ground like a tremor or like an earthquake has struck its howls can be heard over six miles away it emits all sorts of noises from the ports on its body its howls can be heard over six miles away it emits all sorts of noises from the ports on its body its roar in battle shakes the ground like a tremor or like an earthquake has struck triggers earthquakes with the tremors it creates by bellowing if this violently inhales from the ports on its body it is a sign that it is preparing to let loose a huge bellow communicates its feelings to the others by emitting whistle like sounds from the tubes on its body this only raises its voice when it is in battle in the past people would use the loud voices of these as a means of communication between distant cities this can do more than just shout to communicate with others of its kind it ll emit all sorts of sounds from the holes in its body its howls can be heard over six miles away it emits all sorts of noises from the ports on its body,12,12
296,Makuhita,Fighting,, is tenacious it will keep getting up and attacking its foe however many times it is knocked down every time it gets back up this stores more energy in its body for evolving has a tireless spirit it will never give up hope it eats a lot of food gets plenty of sleep and it trains very rigorously by living that way this packs its body with energy it grows stronger by enduring harsh training it is a gutsy that can withstand any attack it loves to toughen up its body above all else if you hear quaking rumbles in a cave it is the sound of undertaking strenuous training it toughens its body by slamming into thick trees many snapped trees can be found near its nest it toughens up by slamming into thick trees over and over it gains a sturdy body and dauntless spirit it toughens its body by slamming into thick trees many snapped trees can be found near its nest it toughens up by slamming into thick trees over and over it gains a sturdy body and dauntless spirit it grows stronger by enduring harsh training it is a gutsy that can withstand any attack is tenaciousit will keep getting up and attacking its foe however many times it is knocked down every time it gets back up this stores more energy in its body for evolving has a tireless spiritit will never give up hope it eats a lot of food gets plenty of sleep and it trains very rigorously by living that way this packs its body with energy it was originally brought in from another region but now from alola are more famous their daily routine consists of training together first thing in the morning eating and napping in the afternoon and then more training afterward it practices its slaps by repeatedly slapping tree trunks it has been known to slap an and get flung away there a rumor of a traditional recipe for stew that trainers can use to raise strong it toughens its body by slamming into thick trees many snapped trees can be found near its nest,5,5
297,Hariyama,Fighting,, practices its straight arm slaps in any number of locations one hit of this powerful openhanded straight arm punches could snap a telephone pole in two thick body may appear fat but it is actually a hunk of solid muscle if this bears down and tightens all its muscles its body becomes as hard as a rock it stomps on the ground to build power it can send a ton truck flying with a straight arm punch it has the habit of challenging others without hesitation to tests of strength it is been known to stand on train tracks and stop trains using forearm thrusts it loves to match power with big bodied it can knock a truck flying with its arm thrusts it loves challenging others to tests of strength it has the power to stop a train with a slap it loves to match power with big bodied it can knock a truck flying with its arm thrusts it stomps on the ground to build power it can send a ton truck flying with a straight arm punch it loves to match power with big bodied it can knock a truck flying with its arm thrusts practices its straight arm slaps in any number of locations one hit of this powerful openhanded straight arm punches could snap a telephone pole in two thick body may appear fat but it is actually a hunk of solid muscle if this bears down and tightens all its muscles its body becomes as hard as a rock it is known for its fantastic strength but as it grows older it focuses more on training they love to compare their freakish strength strength enough to send a truck flying with a single slap although they enjoy comparing their strength they re also kind they value etiquette praising opponents they battle that are big and fat aren t necessarily strong there are some small ones that move nimbly and use moves skillfully it loves to match power with big bodied it can send a truck flying with its arm thrusts,5,5
298,Azurill,Normal,Fairy, spins its tail as if it were a lasso then hurls it far the momentum of the throw sends its body flying too using this unique action one of these managed to hurl itself a record feet tail is large and bouncy it is packed full of the nutrients this needs to grow can be seen bouncing and playing on its big rubbery tail it battles by flinging around its tail which is bigger than its body the tail is a flotation device in water its tail which is packed with nutrition is very bouncy like a rubber ball on sunny days they gather at the edge of water and splash about for fun a that lives by water it moves quickly on land by bouncing on its big tail its tail is filled with nutrients necessary for growth it plays by bouncing on its tail its tail bounces like a rubber ball it flings that tail around to fight opponents bigger than itself its tail is packed full of the nutrients it needs to grow its tail bounces like a rubber ball it flings that tail around to fight opponents bigger than itself it swings its large nutrient filled tail around to fight opponents bigger than itself a that lives by water it moves quickly on land by bouncing on its big tail it swings its large nutrient filled tail around to fight opponents bigger than itself spins its tail as if it were a lasso then hurls it far the momentum of the throw sends its body flying too using this unique action one of these managed to hurl itself a record feet tail is large and bouncy it is packed full of the nutrients this needs to grow can be seen bouncing and playing on its big rubbery tail the ball on tail bounces like a rubber ball and it is full of the nutrients the needs to grow although are normally docile an angry one will swing around the big ball on its tail and try to smash its opponents it is a that lives by water it moves quickly on land by bouncing on its big tail its tail is filled with nutrients necessary for growth it plays by bouncing on its tail,12,12
299,Nosepass,Rock,, magnetic nose is always pointed to the north if two of these meet they cannot turn their faces to each other when they are close because their magnetic noses repel one another had been said to be completely unmoving with its magnetic nose pointed due north however close observation has revealed that the actually moves by a little over of an inch every year its magnetic nose consistently faces north travelers check to get their bearings its body emits a powerful magnetism it feeds on prey that is pulled in by the force its magnetism is stronger in cold seasons its nose is a magnet as a result this always keeps its face pointing north when endangered it may protect itself by raising its magnetism and drawing iron objects to its body if two of these meet they cannot get too close because their noses repel each other when endangered it may protect itself by raising its magnetism and drawing iron objects to its body its magnetic nose always faces north and draws iron objects to its body to protect itself better its magnetic nose always faces north and draws iron objects to its body to protect itself better its magnetic nose consistently faces north travelers check to get their bearings magnetic nose is always pointed to the north if two of these meet they cannot turn their faces to each other when they are close because their magnetic noses repel one another had been said to be completely unmoving with its magnetic nose pointed due north however close observation has revealed that the actually moves by a little over of an inch every year the magnet in nose provides an unerring compass making it an excellent partner for trainers going on a journey it uses powerful magnetism to drag its prey toward it it is also been known to pull in metal which it collects and uses to protect itself it moves less than an inch a year but when it is in a jam it will spin and drill down into the ground in a split second it hunts without twitching a muscle by pulling in its prey with powerful magnetism but sometimes it pulls ral enemies in close its nose is a magnet as a result this always keeps its face pointing north once the people of hisui discovered that its red nose always points north they grew to rely on it greatly when traveling afar the nose seems to work in a similar way to ancient compasses,15,15
300,Skitty,Normal,, has the habit of becoming fascinated by moving objects and chasing them around this is known to chase after its own tail and become dizzy is known to chase around playfully after its own tail in the wild this lives in holes in the trees of forests it is very popular as a pet because of its adorable looks it is said to be difficult to earn its trust however it is extremely popular for its cute looks and behavior a adorably cute behavior makes it highly popular in battle it makes its tail puff out it threatens foes with a sharp growl it can t stop itself from chasing moving things and it runs in a circle chasing its own tail it is adorable when it chases its own tail it is difficult to earn its trust it can t stop itself from chasing moving things and it runs in a circle chasing its own tail it shows its cute side by chasing its own tail until it gets dizzy it can t stop itself from chasing moving things and it runs in a circle chasing its own tail it shows its cute side by chasing its own tail until it gets dizzy has the habit of becoming fascinated by moving objects and chasing them around this is known to chase after its own tail and become dizzy is known to chase around playfully after its own tail in the wild this lives in holes in the trees of forests it is very popular as a pet because of its adorable looks it can t stop itself from chasing moving things and it runs in circles chasing its own tail,12,12
301,Delcatty,Normal,, prefers to live an unfettered existence in which it can do as it pleases at its own pace because this eats and sleeps whenever it decides its daily routines are completely random sleeps anywhere it wants without keeping a permanent nest if other approach it as it sleeps this will never fight it will just move away sohere else the favorite of trend conscious female trainers they are used in competition for their style and fur rather than keeping a permanent lair it habitually seeks comfortable spots and sleeps there it is nocturnal and becomes active at dusk it is highly popular among female trainers for its sublime fur it does not keep a nest it dislikes dirty places it often searches for a comfortable place in which to groom itself it is highly popular among female trainers for its sublime fur it does not keep a nest the reason it does not have a nest is that it simply searches for a clean comfortable place then sleeps there it dislikes dirty places it often searches for a comfortable place in which to groom itself it is highly popular among female trainers for its sublime fur it does not keep a nest prefers to live an unfettered existence in which it can do as it pleases at its own pace because this eats and sleeps whenever it decides its daily routines are completely random sleeps anywhere it wants without keeping a permanent nest if other approach it as it sleeps this will never fightit will just move away sohere else it is highly popular among trainers for its sublime fur it does not keep a nest,12,12
302,Sableye,Dark,Ghost, lead quiet lives deep inside caverns they are feared however because these are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness digs the ground with sharpened claws to find rocks that it eats substances in the eaten rocks crystallize and rise up to the body surface it feeds on gemstone crystals in darkness its eyes sparkle with the glitter of jewels it digs branching holes in caves using its sharp claws in search of food raw gems a lurks in darkness and is seen only rarely it hides in the darkness of caves its diet of gems has transformed its eyes into gemstones it dwells in the darkness of caves it uses its sharp claws to dig up gems to nourish itself it hides in the darkness of caves its diet of gems has transformed its eyes into gemstones it hides in the darkness of caves its diet of gems has transformed its eyes into gemstones it dwells in the darkness of caves it uses its sharp claws to dig up gems to nourish itself lead quiet lives deep inside caverns they are feared however because these are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness digs the ground with sharpened claws to find rocks that it eats substances in the eaten rocks crystallize and rise up to the body surface it is a fiend for gemstones so it stalks unfortunately almost always grabs them first this is feared when its gemstone eyes begin to glow with a sinister shine it is believed that will steal people spirits away it digs through the ground with its hard claws and crunches down gems with its thick pointy teeth is its favorite food materials from gems it has eaten float to the surface of its body and can form an infinite number of patterns among individuals this is feared when its gemstone eyes begin to glow with a sinister shine it is believed that will steal people spirits away it feeds on gemstone crystals in darkness its eyes sparkle with the glitter of jewels it hides in the darkness of caves its diet of gems has transformed its eyes into gemstones the jewel from its chest which has grown gigantic due to the effects of mega evolution can turn back any attack supporting a giant heavy jewel it can t change direction very nimbly and is vulnerable to attack from behind bathed in the energy of mega evolution the gemstone on its chest expands rips through its skin and falls out it blocks any and all attacks with its giant sized gemstone however the stone a heavy burden and it limits mega movements,1,1
303,Mawile,Steel,Fairy, huge jaws are actually steel horns that have been transformed its docile looking face serves to lull its foe into letting down its guard when the foe least expects it chomps it with its gaping jaws don t be taken in by this cute face it is very dangerous fools the foe into letting down its guard then chomps down with its massive jaws the steel jaws are really horns that have been transformed it uses its docile looking face to lull foes into complacency then bites with its huge relentless jaws its giant jaws are actually steel horns that transformed it fools foes into complacency with its adorable gestures then chomps them with its huge jaws attached to its head is a huge set of jaws formed by horns it can chew through iron beams it chomps with its gaping mouth its huge jaws are actually steel horns that have been transformed attached to its head is a huge set of jaws formed by horns it can chew through iron beams it uses its docile looking face to lull foes into complacency then bites with its huge relentless jaws attached to its head is a huge set of jaws formed by horns it can chew through iron beams huge jaws are actually steel horns that have been transformed its docile looking face serves to lull its foe into letting down its guard when the foe least expects it chomps it with its gaping jaws don t be taken in by this cute faceit is very dangerous fools the foe into letting down its guard then chomps down with its massive jaws the steel jaws are really horns that have been transformed a cunning and terrifying its cuteness makes opponents let down their guardand then it swallows them whole with its huge jaws it has two mouths the big jaws on the back of its head can t taste anything so that the mouth it uses to eat foods it doesn t like it uses its docile looking face to lull foes into complacency then bites with its huge relentless jaws it chomps with its gaping mouth its huge jaws are actually steel horns that have been transformed attached to its head is a huge set of jaws formed by horns it can chew through iron beams it has an extremely vicious disposition it grips prey in its two sets of jaws and tears them apart with raw power its two sets of jaws thrash about violently as if they each had a will of their own one gnash from them can turn a boulder to dust,16,16
304,Aron,Steel,Rock,this has a body of steel to make its body feeds on iron ore that it digs from mountains occasionally it causes major trouble by eating bridges and rails has a body of steel with one all out charge this can demolish even a heavy dump truck the destroyed dump truck then becomes a handy meal for the it eats iron to build its steel body it is a pest that descends from mountains to eat bridges and train tracks a that is clad in steel armor a new suit of armor is made when it evolves the old discarded armor is salvaged as metal for making iron products it usually lives deep in mountains however hunger may drive it to eat railroad tracks and cars when it evolves it sheds the steel carapace that covered its whole body and develops a new one it usually lives deep in mountains however hunger may drive it to eat railroad tracks and cars in order to build up its steel body it eats iron ore this pesky is known to eat railroad tracks it usually lives deep in mountains however hunger may drive it to eat railroad tracks and cars when it evolves it sheds the steel carapace that covered its whole body and develops a new one this has a body of steel to make its body feeds on iron ore that it digs from mountains occasionally it causes major trouble by eating bridges and rails has a body of steel with one all out charge this can demolish even a heavy dump truck the destroyed dump truck then becomes a handy meal for the it eats iron oreand sometimes railroad tracksto build up the steel armor that protects its body when evolves its steel armor peels off in ancient times people would collect shed armor and make good use of it in their daily lives it usually lives deep in mountains but when it is hungry it shows up at the foot of the mountains and eats railroad tracks and cars,16,16
305,Lairon,Steel,Rock, tempers its steel body by drinking highly nutritious mineral springwater until it is bloated this makes its nest close to springs of delicious water feeds on iron contained in rocks and water it makes its nest on mountains where iron ore is buried as a result the often clashes with humans mining the iron ore it habitually shows off its strength with the size of sparks it creates by ramming its steel body into boulders when two meet in the wild they fight for territory by bashing into each other with their steel bodies the sound of their collision carries for miles for food it digs up iron ore it smashes its steely body against others to fight over territory it loves iron ore groups of them fight for territory by bashing one another with their steel bodies for food it digs up iron ore it smashes its steely body against others to fight over territory fight over territory and when their steel bodies collide sparks fly it loves iron ore groups of them fight for territory by bashing one another with their steel bodies it habitually shows off its strength with the size of sparks it creates by ramming its steel body into boulders tempers its steel body by drinking highly nutritious mineral springwater until it is bloated this makes its nest close to springs of delicious water feeds on iron contained in rocks and water it makes its nest on mountains where iron ore is buried as a result the often clashes with humans mining the iron ore live in mountains brimming with spring water and iron ore so these often came into conflict with humans in the past during territorial disputes fight by slamming into each other close inspection of their steel armor reveals scratches and dents for food it digs up iron ore it smashes its steely body against others to fight over territory,16,16
306,Aggron,Steel,Rock, claims an entire mountain as its own territory it mercilessly beats up anything that violates its environment this vigilantly patrols its territory at all times is surprisingly protective of its environment if its mountain is ravaged by a landslide or a fire this will haul topsoil to the area plant trees and beautifully restore its own territory it claims a large mountain as its sole territory it mercilessly thrashes those that violate its space its iron horns grow longer a little at a time they are used to determine the age the gouges in its armor are worn with pride as mementos from battles while seeking iron for food it digs tunnels by breaking through bedrock with its steel horns you can tell its age by the length of its iron horns it claims an entire mountain as its territory while seeking iron for food it digs tunnels by breaking through bedrock with its steel horns it claims an entire mountain as its own the more wounds it has the more it has battled so don t take it lightly it claims an entire mountain as its own the more wounds it has the more it has battled so don t take it lightly while seeking iron for food it digs tunnels by breaking through bedrock with its steel horns claims an entire mountain as its own territory it mercilessly beats up anything that violates its environment this vigilantly patrols its territory at all times is protective of its environment if its mountain is ravaged by a landslide or a fire this will haul topsoil to the area plant trees and beautifully restore its own territory has a horn sharp enough to perforate thick iron sheets it brings down its opponents by ramming into them horn first long ago there was a king who wore a helmet meant to resemble the head of an he was trying to channel the strength while seeking iron for food it digs tunnels by breaking through bedrock with its steel horns,16,16
307,Meditite,Fighting,Psychic, undertakes rigorous mental training deep in the mountains however whenever it meditates this always loses its concentration and focus as a result its training never ends heightens its inner energy through meditation it survives on just one berry a day minimal eating is another aspect of this training it never skips its daily yoga training it heightens its inner strength through meditation it continually meditates for hours every day as a result of rigorous and dedicated yoga training it has tempered its spiritual power so much it can fly it eats just one berry a day by enduring hunger its spirit is tempered and made sharper it never misses its daily yoga workouts and it heightens its spiritual power through meditation it always trains deep in mountains it levitates when it heightens its spiritual power through meditation it meditates to heighten its inner energy and to float in the air it eats one berry a day it always trains deep in mountains it levitates when it heightens its spiritual power through meditation it always trains deep in mountains it levitates when it heightens its spiritual power through meditation it eats just one berry a day by enduring hunger its spirit is tempered and made sharper undertakes rigorous mental training deep in the mountains however whenever it meditates this always loses its concentration and focus as a result its training never ends heightens its inner energy through meditation it survives on just one berry a day minimal eating is another aspect of this training it meditates in order to build up its mental energy it is said to eat just one berry a day it never misses its daily yoga workouts and it heightens its spiritual power through meditation,5,5
308,Medicham,Fighting,Psychic,it is said that through meditation heightens energy inside its body and sharpens its sixth sense this hides its presence by merging itself with fields and mountains through the power of meditation developed its sixth sense it gained the ability to use psychokinetic powers this is known to meditate for a whole month without eating it elegantly avoids attacks with dance like steps then launches a devastating blow in the same motion through crushingly harsh yoga training it gained the power to foretell its foe actions it battles with elegant dance like movement through yoga training it has honed its sixth sense its movements are elegant through daily meditation it hones its spiritual power it can sense what others are thinking it gains the ability to see the aura of its opponents by honing its mind through starvation through yoga training it gained the psychic power to predict its foe next move it gains the ability to see the aura of its opponents by honing its mind through starvation it elegantly avoids attacks with dance like steps then launches a devastating blow in the same motion through yoga training it gained the psychic power to predict its foe next move it is said that through meditation heightens energy inside its body and sharpens its sixth sense this hides its presence by merging itself with fields and mountains through the power of meditation developed its sixth sense it gained the ability to use psychokinetic powers this is known to meditate for a whole month without eating through yoga training it has honed its sixth sense its movements are elegant through daily meditation it hones its spiritual power it can sense what others are thinking,5,5
309,Electrike,Electric,, stores electricity in its long body hair this stimulates its leg muscles with electric charges these jolts of power give its legs explosive acceleration performance runs faster than the human eye can follow the friction from running is converted into electricity which is then stored in this fur it stores static electricity in its fur for discharging it gives off sparks if a storm approaches it generates electricity using friction from the atmosphere in seasons with especially arid air its entire body blazes with violent showers of sparks using electricity stored in its fur it stimulates its muscles to heighten its reaction speed it stores electricity in its fur it gives off sparks from all over its body in seasons when the air is dry using electricity stored in its fur it stimulates its muscles to heighten its reaction speed using electricity stored in its fur it stimulates its muscles to heighten its reaction speed it stores static electricity in its fur for discharging it gives off sparks if a storm approaches stores electricity in its long body hair this stimulates its leg muscles with electric charges these jolts of power give its legs explosive acceleration performance runs faster than the human eye can follow the friction from running is converted into electricity which is then stored in this fur friction between the air and its fur produces static electricity when runs it makes a crackling sound static electricity builds up all over its body as strands of its long fur rub together this boasts incredible speed it stores static electricity in its fur for discharging it gives off sparks if a storm approaches it stores electricity in its fur it gives off sparks from all over its body in seasons when the air is dry using electricity stored in its fur it stimulates its muscles to heighten its reaction speed,3,3
310,Manectric,Electric,, is constantly discharging electricity from its mane the sparks sometimes ignite forest fires when it enters a battle this creates thunderclouds discharges strong electricity from its mane the mane is used for collecting electricity in the atmosphere this creates thunderclouds above its head it rarely appears before people it is said to nest where lightning has fallen because lightning falls in their vicinities were thought to have been born from lightning in battle they create thunderclouds it discharges electricity from its mane it creates a thundercloud overhead to drop lightning bolts its nest can be found where a thunderbolt hits it is discharging electricity from its mane it discharges electricity from its mane it creates a thundercloud overhead to drop lightning bolts it rarely appears before people it is said to nest where lightning has fallen it discharges electricity from its mane it creates a thundercloud overhead to drop lightning bolts is constantly discharging electricity from its mane the sparks sometimes ignite forest fires when it enters a battle this creates thunderclouds discharges strong electricity from its mane the mane is used for collecting electricity in the atmosphere this creates thunderclouds above its head can be found beneath unral thunderclouds people say it can run at the same speed as lightning striking it stimulates its own muscles with electricity so it can move quickly it eases its soreness with electricity too so it can recover quickly as well it stimulates its own muscles with electricity so it can move quickly it eases its soreness with electricity too so it can recover quickly as well it rarely appears before people it is said to nest where lightning has fallen it discharges electricity from its mane the creates a thundercloud overhead from which to drop lightning bolts mega evolution fills its body with a tremendous amount of electricity but it is too much for to fully control too much electricity has built up in its body irritating its explosive speed is equal to that of a lightning bolt,3,3
311,Plusle,Electric,, always acts as a cheerleader for its partners whenever a teammate puts out a good effort in battle this shorts out its body to create the crackling noises of sparks to show its joy when is cheering on its partner it flashes with electric sparks from all over its body if its partner loses this cries loudly it cheers on partners while scattering sparks from its body it climbs telephone poles to absorb electricity it has the trait of cheering on its fellow by shorting out the electricity it releases from its paws it creates pom poms for cheering it cheers on friends with pom poms made of sparks it drains power from telephone poles it absorbs electricity from telephone poles it shorts out its body to create crackling noises it cheers on friends with pom poms made of sparks it drains power from telephone poles it cheers on friends with pom poms made of sparks it drains power from telephone poles it absorbs electricity from telephone poles it shorts out its body to create crackling noises always acts as a cheerleader for its partners whenever a teammate puts out a good effort in battle this shorts out its body to create the crackling noises of sparks to show its joy when is cheering on its partner it flashes with electric sparks from all over its body if its partner loses this cries loudly it cheers on friends with pom poms made of sparks it drains power from telephone poles,3,3
